utctimestamp,area,groupId,trackableId,usageMinutes,sets,repetitions
2024-09-23T00:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,1,1,0
2024-09-23T00:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,1,1,0
2024-09-23T00:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,2,2,4
2024-09-23T02:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,1,1,0
2024-09-23T02:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,4,5,57
2024-09-23T02:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,7,5,75
2024-09-23T02:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,8,8,51
2024-09-23T02:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,8,11,23
2024-09-23T03:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,13,11,187
2024-09-23T03:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,5,4,18
2024-09-23T03:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,2,3,12
2024-09-23T04:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,5,3,26
2024-09-23T04:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,3,3,13
2024-09-23T04:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,9,10,92
2024-09-23T04:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,11,9,27
2024-09-23T04:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,18,16,232
2024-09-23T05:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,1,1,0
2024-09-23T05:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,4,6,9
2024-09-23T05:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,5,6,8
2024-09-23T05:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,3,2,4
2024-09-23T05:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,4,4,18
2024-09-23T05:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,1,1,5
2024-09-23T05:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,6,3,51
2024-09-23T05:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,9,9,67
2024-09-23T06:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,4,3,17
2024-09-23T06:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,4,5,4
2024-09-23T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,7,6,8
2024-09-23T06:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,8,6,47
2024-09-23T06:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,8,6,81
2024-09-23T06:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,5,4,59
2024-09-23T06:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,8,5,160
2024-09-23T06:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,4,3,48
2024-09-23T06:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,3,3,18
2024-09-23T06:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,3,3,24
2024-09-23T06:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,3,2,23
2024-09-23T06:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,1,1,5
2024-09-23T07:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,4,3,11
2024-09-23T07:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,12,10,118
2024-09-23T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,13,14,52
2024-09-23T07:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,8,9,32
2024-09-23T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,12,13,68
2024-09-23T07:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,10,7,43
2024-09-23T07:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,6,4,24
2024-09-23T07:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,8,6,49
2024-09-23T07:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,6,4,95
2024-09-23T07:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,11,8,133
2024-09-23T07:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,2,2,15
2024-09-23T07:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,12,10,30
2024-09-23T07:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,6,3,62
2024-09-23T07:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,6,4,86
2024-09-23T07:00:00.000Z,Pirkkola,OGFA24,OGFA24_Pirkkola,4,3,69
2024-09-23T07:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,4,4,5
2024-09-23T08:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,9,8,42
2024-09-23T08:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,17,18,277
2024-09-23T08:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,15,13,58
2024-09-23T08:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,13,14,77
2024-09-23T08:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,13,10,47
2024-09-23T08:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,9,9,35
2024-09-23T08:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,10,11,163
2024-09-23T08:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,5,4,105
2024-09-23T08:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,2,1,26
2024-09-23T08:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,23,19,147
2024-09-23T08:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,12,9,37
2024-09-23T08:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,8,5,52
2024-09-23T08:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,2,1,7
2024-09-23T09:00:00.000Z,Paloheinä,OG10,OG10_Paloheina_2,7,9,24
2024-09-23T09:00:00.000Z,Paloheinä,OG23,OG23_Paloheina_1,13,11,149
2024-09-23T09:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,17,19,102
2024-09-23T09:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,19,17,85
2024-09-23T09:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,20,20,155
2024-09-23T09:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,15,14,84
2024-09-23T09:00:00.000Z,Pirkkola,OG10,OG10_Pirkkola_2,18,16,115
2024-09-23T09:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,2,1,2
2024-09-23T09:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,9,6,78
2024-09-23T09:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,9,8,69
2024-09-23T09:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,8,7,140
2024-09-23T09:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,6,7,16
2024-09-23T09:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,11,12,56
2024-09-23T09:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,34,34,203
2024-09-23T09:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,15,12,93
2024-09-23T09:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,12,11,148
2024-09-23T09:00:00.000Z,Pirkkola,OGFA41,OGFA41_Pirkkola,1,1,0
2024-09-23T10:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_1,11,11,24
2024-09-23T10:00:00.000Z,Paloheinä,OG30,OG30_Paloheina_2,10,9,18
2024-09-23T10:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_1,1,1,0
2024-09-23T10:00:00.000Z,Paloheinä,OG41,OG41_Paloheina_2,7,6,27
2024-09-23T10:00:00.000Z,Pirkkola,OG12,OG12_Pirkkola,10,8,68
2024-09-23T10:00:00.000Z,Pirkkola,OG22,OG22_Pirkkola,10,7,126
2024-09-23T10:00:00.000Z,Pirkkola,OG23,OG23_Pirkkola,6,5,119
2024-09-23T10:00:00.000Z,Pirkkola,OG24,OG24_Pirkkola,26,26,347
2024-09-23T10:00:00.000Z,Pirkkola,OG26,OG26_Pirkkola,5,3,80
2024-09-23T10:00:00.000Z,Pirkkola,OG30,OG30_Pirkkola,14,14,64
2024-09-23T10:00:00.000Z,Pirkkola,OG41,OG41_Pirkkola,10,9,29
2024-09-23T10:00:00.000Z,Pirkkola,OG72,OG72_Pirkkola,10,8,92
2024-09-23T10:00:00.000Z,Pirkkola,OG92,OG92_Pirkkola,22,18,281
